# x_m,y_m,w_tr_right_m,w_tr_left_m
-200.010,-211.702,1.500,1.500
-200.010,-210.701,1.500,1.500
-200.011,-209.700,1.500,1.500
-200.011,-208.699,1.500,1.500
-200.012,-207.698,1.500,1.500
-200.012,-206.696,1.500,1.500
-200.012,-205.695,1.500,1.500
-200.013,-204.694,1.500,1.500
-200.013,-203.693,1.500,1.500
-200.014,-202.692,1.500,1.500
-200.014,-201.691,1.500,1.500
-200.014,-200.690,1.500,1.500
-200.015,-199.689,1.500,1.500
-200.015,-198.687,1.500,1.500
-200.015,-197.686,1.500,1.500
-200.016,-196.685,1.500,1.500
-200.016,-195.684,1.500,1.500
-200.017,-194.683,1.500,1.500
-200.017,-193.682,1.500,1.500
-200.017,-192.681,1.500,1.500
-200.018,-191.679,1.500,1.500
-200.018,-190.678,1.500,1.500
-200.019,-189.677,1.500,1.500
-200.019,-188.676,1.500,1.500
-200.019,-187.675,1.500,1.500
-200.020,-186.674,1.500,1.500
-200.020,-185.673,1.500,1.500
-200.021,-184.671,1.500,1.500
-200.021,-183.670,1.500,1.500
-200.021,-182.669,1.500,1.500
-200.022,-181.668,1.500,1.500
-200.022,-180.667,1.500,1.500
-200.022,-179.666,1.500,1.500
-200.023,-178.665,1.500,1.500
-200.023,-177.663,1.500,1.500
-200.024,-176.662,1.500,1.500
-200.024,-175.661,1.500,1.500
-200.024,-174.660,1.500,1.500
-200.025,-173.659,1.500,1.500
-200.025,-172.658,1.500,1.500
-200.026,-171.657,1.500,1.500
-200.026,-170.656,1.500,1.500
-200.026,-169.654,1.500,1.500
-200.027,-168.653,1.500,1.500
-200.027,-167.652,1.500,1.500
-200.027,-166.651,1.500,1.500
-200.028,-165.650,1.500,1.500
-200.028,-164.649,1.500,1.500
-200.029,-163.648,1.500,1.500
-200.029,-162.646,1.500,1.500
-200.029,-161.645,1.500,1.500
-200.030,-160.644,1.500,1.500
-200.030,-159.643,1.500,1.500
-200.031,-158.642,1.500,1.500
-200.031,-157.641,1.500,1.500
-200.031,-156.640,1.500,1.500
-200.032,-155.638,1.500,1.500
-200.032,-154.637,1.500,1.500
-200.032,-153.636,1.500,1.500
-200.033,-152.635,1.500,1.500
-200.033,-151.634,1.500,1.500
-200.034,-150.633,1.500,1.500
-200.034,-149.632,1.500,1.500
-200.034,-148.630,1.500,1.500
-200.035,-147.629,1.500,1.500
-200.035,-146.628,1.500,1.500
-200.036,-145.627,1.500,1.500
-200.036,-144.626,1.500,1.500
-200.036,-143.625,1.500,1.500
-200.037,-142.624,1.500,1.500
-200.037,-141.622,1.500,1.500
-200.037,-140.621,1.500,1.500
-200.038,-139.620,1.500,1.500
-200.038,-138.619,1.500,1.500
-200.039,-137.618,1.500,1.500
-200.039,-136.617,1.500,1.500
-200.039,-135.616,1.500,1.500
-200.040,-134.615,1.500,1.500
-200.040,-133.613,1.500,1.500
-200.041,-132.612,1.500,1.500
-200.041,-131.611,1.500,1.500
-200.041,-130.610,1.500,1.500
-200.042,-129.609,1.500,1.500
-200.042,-128.608,1.500,1.500
-200.042,-127.607,1.500,1.500
-200.043,-126.605,1.500,1.500
-200.043,-125.604,1.500,1.500
-200.044,-124.603,1.500,1.500
-200.044,-123.602,1.500,1.500
-200.044,-122.601,1.500,1.500
-200.045,-121.600,1.500,1.500
-200.045,-120.599,1.500,1.500
-200.046,-119.597,1.500,1.500
-200.046,-118.596,1.500,1.500
-200.046,-117.595,1.500,1.500
-200.047,-116.594,1.500,1.500
-200.047,-115.593,1.500,1.500
-200.047,-114.592,1.500,1.500
-200.048,-113.591,1.500,1.500
-200.048,-112.589,1.500,1.500
-200.049,-111.588,1.500,1.500
-200.049,-110.587,1.500,1.500
-200.049,-109.586,1.500,1.500
-200.050,-108.585,1.500,1.500
-200.050,-107.584,1.500,1.500
-200.051,-106.583,1.500,1.500
-200.051,-105.582,1.500,1.500
-200.051,-104.580,1.500,1.500
-200.052,-103.579,1.500,1.500
-200.052,-102.578,1.500,1.500
-200.053,-101.577,1.500,1.500
-200.053,-100.576,1.500,1.500
-200.053,-99.575,1.500,1.500
-200.054,-98.574,1.500,1.500
-200.054,-97.572,1.500,1.500
-200.054,-96.571,1.500,1.500
-200.055,-95.570,1.500,1.500
-200.055,-94.569,1.500,1.500
-200.056,-93.568,1.500,1.500
-200.056,-92.567,1.500,1.500
-200.056,-91.566,1.500,1.500
-200.057,-90.564,1.500,1.500
-200.057,-89.563,1.500,1.500
-200.058,-88.562,1.500,1.500
-200.058,-87.561,1.500,1.500
-200.058,-86.560,1.500,1.500
-200.059,-85.559,1.500,1.500
-200.059,-84.558,1.500,1.500
-200.059,-83.556,1.500,1.500
-200.060,-82.555,1.500,1.500
-200.060,-81.554,1.500,1.500
-200.061,-80.553,1.500,1.500
-200.061,-79.552,1.500,1.500
-200.061,-78.551,1.500,1.500
-200.062,-77.550,1.500,1.500
-200.062,-76.549,1.500,1.500
-200.063,-75.547,1.500,1.500
-200.063,-74.546,1.500,1.500
-200.063,-73.545,1.500,1.500
-200.064,-72.544,1.500,1.500
-200.064,-71.543,1.500,1.500
-200.064,-70.542,1.500,1.500
-200.065,-69.541,1.500,1.500
-200.065,-68.539,1.500,1.500
-200.066,-67.538,1.500,1.500
-200.066,-66.537,1.500,1.500
-200.066,-65.536,1.500,1.500
-200.067,-64.535,1.500,1.500
-200.067,-63.534,1.500,1.500
-200.068,-62.533,1.500,1.500
-200.068,-61.531,1.500,1.500
-200.068,-60.530,1.500,1.500
-200.069,-59.529,1.500,1.500
-200.069,-58.528,1.500,1.500
-200.069,-57.527,1.500,1.500
-200.070,-56.526,1.500,1.500
-200.070,-55.525,1.500,1.500
-200.071,-54.523,1.500,1.500
-200.071,-53.522,1.500,1.500
-200.071,-52.521,1.500,1.500
-200.072,-51.520,1.500,1.500
-200.073,-50.519,1.500,1.500
-200.077,-49.518,1.500,1.500
-200.083,-48.517,1.500,1.500
-200.091,-47.516,1.500,1.500
-200.100,-46.514,1.500,1.500
-200.113,-45.513,1.500,1.500
-200.127,-44.512,1.500,1.500
-200.143,-43.511,1.500,1.500
-200.161,-42.510,1.500,1.500
-200.181,-41.509,1.500,1.500
-200.204,-40.508,1.500,1.500
-200.228,-39.508,1.500,1.500
-200.254,-38.507,1.500,1.500
-200.283,-37.506,1.500,1.500
-200.313,-36.505,1.500,1.500
-200.345,-35.504,1.500,1.500
-200.379,-34.503,1.500,1.500
-200.416,-33.503,1.500,1.500
-200.454,-32.502,1.500,1.500
-200.495,-31.502,1.500,1.500
-200.537,-30.502,1.500,1.500
-200.582,-29.502,1.500,1.500
-200.629,-28.501,1.500,1.500
-200.678,-27.502,1.500,1.500
-200.729,-26.502,1.500,1.500
-200.782,-25.502,1.500,1.500
-200.837,-24.502,1.500,1.500
-200.894,-23.503,1.500,1.500
-200.953,-22.503,1.500,1.500
-201.014,-21.504,1.500,1.500
-201.077,-20.505,1.500,1.500
-201.143,-19.506,1.500,1.500
-201.210,-18.507,1.500,1.500
-201.280,-17.508,1.500,1.500
-201.351,-16.510,1.500,1.500
-201.425,-15.511,1.500,1.500
-201.500,-14.513,1.500,1.500
-201.578,-13.515,1.500,1.500
-201.657,-12.517,1.500,1.500
-201.739,-11.519,1.500,1.500
-201.823,-10.522,1.500,1.500
-201.909,-9.524,1.500,1.500
-201.996,-8.527,1.500,1.500
-202.084,-7.530,1.500,1.500
-202.172,-6.532,1.500,1.500
-202.261,-5.535,1.500,1.500
-202.349,-4.538,1.500,1.500
-202.437,-3.541,1.500,1.500
-202.523,-2.543,1.500,1.500
-202.603,-1.545,1.500,1.500
-202.678,-0.547,1.500,1.500
-202.747,0.452,1.500,1.500
-202.810,1.451,1.500,1.500
-202.868,2.450,1.500,1.500
-202.920,3.450,1.500,1.500
-202.966,4.450,1.500,1.500
-203.006,5.451,1.500,1.500
-203.040,6.451,1.500,1.500
-203.069,7.452,1.500,1.500
-203.092,8.453,1.500,1.500
-203.109,9.454,1.500,1.500
-203.121,10.455,1.500,1.500
-203.126,11.456,1.500,1.500
-203.126,12.457,1.500,1.500
-203.120,13.458,1.500,1.500
-203.109,14.459,1.500,1.500
-203.091,15.460,1.500,1.500
-203.068,16.461,1.500,1.500
-203.039,17.462,1.500,1.500
-203.004,18.462,1.500,1.500
-202.964,19.463,1.500,1.500
-202.918,20.463,1.500,1.500
-202.866,21.463,1.500,1.500
-202.808,22.462,1.500,1.500
-202.744,23.461,1.500,1.500
-202.675,24.460,1.500,1.500
-202.600,25.458,1.500,1.500
-202.519,26.456,1.500,1.500
-202.433,27.454,1.500,1.500
-202.341,28.450,1.500,1.500
-202.251,29.448,1.500,1.500
-202.165,30.445,1.500,1.500
-202.081,31.443,1.500,1.500
-202.001,32.441,1.500,1.500
-201.924,33.439,1.500,1.500
-201.851,34.437,1.500,1.500
-201.781,35.436,1.500,1.500
-201.714,36.435,1.500,1.500
-201.651,37.434,1.500,1.500
-201.591,38.433,1.500,1.500
-201.534,39.433,1.500,1.500
-201.480,40.432,1.500,1.500
-201.430,41.432,1.500,1.500
-201.384,42.432,1.500,1.500
-201.341,43.433,1.500,1.500
-201.301,44.433,1.500,1.500
-201.264,45.434,1.500,1.500
-201.231,46.434,1.500,1.500
-201.200,47.435,1.500,1.500
-201.173,48.436,1.500,1.500
-201.149,49.437,1.500,1.500
-201.128,50.438,1.500,1.500
-201.111,51.440,1.500,1.500
-201.097,52.441,1.500,1.500
-201.086,53.442,1.500,1.500
-201.079,54.443,1.500,1.500
-201.075,55.445,1.500,1.500
-201.074,56.446,1.500,1.500
-201.077,57.447,1.500,1.500
-201.083,58.448,1.500,1.500
-201.093,59.449,1.500,1.500
-201.104,60.450,1.500,1.500
-201.116,61.451,1.500,1.500
-201.127,62.452,1.500,1.500
-201.138,63.453,1.500,1.500
-201.150,64.455,1.500,1.500
-201.161,65.456,1.500,1.500
-201.172,66.457,1.500,1.500
-201.183,67.458,1.500,1.500
-201.195,68.459,1.500,1.500
-201.206,69.460,1.500,1.500
-201.217,70.461,1.500,1.500
-201.229,71.462,1.500,1.500
-201.240,72.463,1.500,1.500
-201.251,73.464,1.500,1.500
-201.263,74.465,1.500,1.500
-201.274,75.466,1.500,1.500
-201.285,76.467,1.500,1.500
-201.297,77.468,1.500,1.500
-201.308,78.470,1.500,1.500
-201.319,79.471,1.500,1.500
-201.330,80.472,1.500,1.500
-201.342,81.473,1.500,1.500
-201.353,82.474,1.500,1.500
-201.364,83.475,1.500,1.500
-201.376,84.476,1.500,1.500
-201.387,85.477,1.500,1.500
-201.398,86.478,1.500,1.500
-201.410,87.479,1.500,1.500
-201.421,88.480,1.500,1.500
-201.432,89.481,1.500,1.500
-201.444,90.482,1.500,1.500
-201.455,91.484,1.500,1.500
-201.466,92.485,1.500,1.500
-201.477,93.486,1.500,1.500
-201.489,94.487,1.500,1.500
-201.500,95.488,1.500,1.500
-201.511,96.489,1.500,1.500
-201.523,97.490,1.500,1.500
-201.534,98.491,1.500,1.500
-201.545,99.492,1.500,1.500
-201.556,100.493,1.500,1.500
-201.573,101.494,1.500,1.500
-201.498,102.492,1.500,1.500
-201.262,103.466,1.500,1.500
-200.873,104.388,1.500,1.500
-200.341,105.236,1.500,1.500
-199.680,105.988,1.500,1.500
-198.907,106.624,1.500,1.500
-198.041,107.127,1.500,1.500
-197.106,107.485,1.500,1.500
-196.124,107.678,1.500,1.500
-195.129,107.790,1.500,1.500
-194.134,107.896,1.500,1.500
-193.138,108.003,1.500,1.500
-192.143,108.110,1.500,1.500
-191.147,108.217,1.500,1.500
-190.152,108.324,1.500,1.500
-189.156,108.431,1.500,1.500
-188.161,108.538,1.500,1.500
-187.166,108.645,1.500,1.500
-186.170,108.751,1.500,1.500
-185.175,108.858,1.500,1.500
-184.179,108.965,1.500,1.500
-183.184,109.072,1.500,1.500
-182.189,109.179,1.500,1.500
-181.193,109.286,1.500,1.500
-180.198,109.393,1.500,1.500
-179.202,109.499,1.500,1.500
-178.207,109.606,1.500,1.500
-177.211,109.713,1.500,1.500
-176.216,109.820,1.500,1.500
-175.221,109.927,1.500,1.500
-174.225,110.034,1.500,1.500
-173.230,110.141,1.500,1.500
-172.234,110.247,1.500,1.500
-171.239,110.354,1.500,1.500
-170.243,110.461,1.500,1.500
-169.248,110.568,1.500,1.500
-168.253,110.675,1.500,1.500
-167.257,110.782,1.500,1.500
-166.262,110.889,1.500,1.500
-165.266,110.995,1.500,1.500
-164.271,111.102,1.500,1.500
-163.276,111.209,1.500,1.500
-162.280,111.316,1.500,1.500
-161.285,111.423,1.500,1.500
-160.289,111.530,1.500,1.500
-159.294,111.637,1.500,1.500
-158.298,111.743,1.500,1.500
-157.303,111.850,1.500,1.500
-156.308,111.957,1.500,1.500
-155.312,112.064,1.500,1.500
-154.317,112.171,1.500,1.500
-153.321,112.278,1.500,1.500
-152.326,112.385,1.500,1.500
-151.331,112.492,1.500,1.500
-150.335,112.598,1.500,1.500
-149.340,112.705,1.500,1.500
-148.344,112.812,1.500,1.500
-147.349,112.919,1.500,1.500
-146.353,113.026,1.500,1.500
-145.358,113.133,1.500,1.500
-144.363,113.240,1.500,1.500
-143.367,113.346,1.500,1.500
-142.372,113.453,1.500,1.500
-141.376,113.560,1.500,1.500
-140.381,113.667,1.500,1.500
-139.386,113.774,1.500,1.500
-138.390,113.881,1.500,1.500
-137.395,113.988,1.500,1.500
-136.399,114.094,1.500,1.500
-135.404,114.201,1.500,1.500
-134.408,114.308,1.500,1.500
-133.413,114.415,1.500,1.500
-132.418,114.522,1.500,1.500
-131.422,114.629,1.500,1.500
-130.427,114.736,1.500,1.500
-129.431,114.842,1.500,1.500
-128.436,114.949,1.500,1.500
-127.441,115.057,1.500,1.500
-126.445,115.167,1.500,1.500
-125.451,115.278,1.500,1.500
-124.456,115.392,1.500,1.500
-123.461,115.507,1.500,1.500
-122.467,115.624,1.500,1.500
-121.473,115.742,1.500,1.500
-120.479,115.860,1.500,1.500
-119.485,115.977,1.500,1.500
-118.490,116.095,1.500,1.500
-117.496,116.212,1.500,1.500
-116.502,116.330,1.500,1.500
-115.508,116.447,1.500,1.500
-114.513,116.565,1.500,1.500
-113.519,116.683,1.500,1.500
-112.525,116.801,1.500,1.500
-111.531,116.918,1.500,1.500
-110.537,117.036,1.500,1.500
-109.543,117.154,1.500,1.500
-108.548,117.272,1.500,1.500
-107.554,117.390,1.500,1.500
-106.560,117.508,1.500,1.500
-105.566,117.627,1.500,1.500
-104.572,117.745,1.500,1.500
-103.578,117.863,1.500,1.500
-102.584,117.981,1.500,1.500
-101.589,118.100,1.500,1.500
-100.595,118.218,1.500,1.500
-99.601,118.337,1.500,1.500
-98.607,118.455,1.500,1.500
