# x_m,y_m,w_tr_right_m,w_tr_left_m
71.382,73.018,1.500,1.500
71.258,72.024,1.500,1.500
71.095,71.036,1.500,1.500
70.892,70.056,1.500,1.500
70.653,69.084,1.500,1.500
70.446,68.107,1.500,1.500
70.284,67.112,1.500,1.500
70.170,66.091,1.500,1.500
70.103,65.046,1.500,1.500
70.084,63.977,1.500,1.500
70.112,62.882,1.500,1.500
70.188,61.763,1.500,1.500
70.333,60.655,1.500,1.500
70.592,59.633,1.500,1.500
70.966,58.699,1.500,1.500
71.456,57.853,1.500,1.500
72.060,57.096,1.500,1.500
72.780,56.426,1.500,1.500
73.569,55.806,1.500,1.500
74.326,55.151,1.500,1.500
75.062,54.472,1.500,1.500
75.775,53.770,1.500,1.500
76.465,53.043,1.500,1.500
77.129,52.295,1.500,1.500
77.768,51.524,1.500,1.500
78.382,50.733,1.500,1.500
78.968,49.922,1.500,1.500
79.527,49.091,1.500,1.500
80.059,48.243,1.500,1.500
80.561,47.377,1.500,1.500
81.035,46.495,1.500,1.500
81.479,45.597,1.500,1.500
81.892,44.686,1.500,1.500
82.275,43.761,1.500,1.500
82.627,42.823,1.500,1.500
82.948,41.875,1.500,1.500
83.236,40.916,1.500,1.500
83.493,39.949,1.500,1.500
83.717,38.973,1.500,1.500
83.909,37.990,1.500,1.500
84.068,37.002,1.500,1.500
84.193,36.009,1.500,1.500
84.286,35.012,1.500,1.500
84.345,34.012,1.500,1.500
84.371,33.012,1.500,1.500
84.363,32.010,1.500,1.500
84.326,31.010,1.500,1.500
84.283,30.010,1.500,1.500
84.240,29.010,1.500,1.500
84.198,28.009,1.500,1.500
84.155,27.009,1.500,1.500
84.112,26.009,1.500,1.500
84.070,25.009,1.500,1.500
84.027,24.008,1.500,1.500
83.980,23.008,1.500,1.500
83.899,22.011,1.500,1.500
83.779,21.017,1.500,1.500
83.622,20.028,1.500,1.500
83.427,19.046,1.500,1.500
83.195,18.072,1.500,1.500
82.925,17.108,1.500,1.500
82.618,16.155,1.500,1.500
82.276,15.214,1.500,1.500
81.897,14.288,1.500,1.500
81.483,13.376,1.500,1.500
81.035,12.481,1.500,1.500
80.552,11.604,1.500,1.500
80.036,10.746,1.500,1.500
79.488,9.908,1.500,1.500
78.908,9.092,1.500,1.500
78.297,8.299,1.500,1.500
77.656,7.530,1.500,1.500
76.986,6.786,1.500,1.500
76.288,6.068,1.500,1.500
75.564,5.377,1.500,1.500
74.810,4.718,1.500,1.500
74.094,4.022,1.500,1.500
73.429,3.269,1.500,1.500
72.810,2.461,1.500,1.500
72.237,1.596,1.500,1.500
71.709,0.676,1.500,1.500
71.226,-0.300,1.500,1.500
70.789,-1.332,1.500,1.500
70.403,-2.415,1.500,1.500
70.137,-3.482,1.500,1.500
70.013,-4.515,1.500,1.500
70.030,-5.513,1.500,1.500
70.189,-6.476,1.500,1.500
70.489,-7.405,1.500,1.500
70.927,-8.299,1.500,1.500
71.391,-9.188,1.500,1.500
71.850,-10.077,1.500,1.500
72.310,-10.966,1.500,1.500
72.770,-11.855,1.500,1.500
73.230,-12.745,1.500,1.500
73.692,-13.633,1.500,1.500
74.133,-14.532,1.500,1.500
74.533,-15.449,1.500,1.500
74.890,-16.385,1.500,1.500
75.203,-17.336,1.500,1.500
75.471,-18.300,1.500,1.500
75.695,-19.276,1.500,1.500
75.873,-20.261,1.500,1.500
76.005,-21.254,1.500,1.500
76.090,-22.251,1.500,1.500
76.129,-23.251,1.500,1.500
76.122,-24.253,1.500,1.500
76.068,-25.252,1.500,1.500
75.968,-26.248,1.500,1.500
75.822,-27.239,1.500,1.500
75.629,-28.221,1.500,1.500
75.392,-29.194,1.500,1.500
75.109,-30.154,1.500,1.500
74.782,-31.100,1.500,1.500
74.412,-32.031,1.500,1.500
73.998,-32.942,1.500,1.500
73.543,-33.834,1.500,1.500
73.047,-34.704,1.500,1.500
72.511,-35.549,1.500,1.500
71.936,-36.369,1.500,1.500
71.324,-37.161,1.500,1.500
70.676,-37.924,1.500,1.500
69.993,-38.656,1.500,1.500
69.277,-39.355,1.500,1.500
68.526,-40.018,1.500,1.500
67.766,-40.669,1.500,1.500
67.023,-41.340,1.500,1.500
66.303,-42.036,1.500,1.500
65.606,-42.755,1.500,1.500
64.934,-43.496,1.500,1.500
64.286,-44.260,1.500,1.500
63.663,-45.044,1.500,1.500
63.066,-45.848,1.500,1.500
62.497,-46.671,1.500,1.500
61.954,-47.512,1.500,1.500
61.440,-48.371,1.500,1.500
60.954,-49.246,1.500,1.500
60.497,-50.137,1.500,1.500
60.069,-51.042,1.500,1.500
59.671,-51.961,1.500,1.500
59.304,-52.892,1.500,1.500
58.968,-53.835,1.500,1.500
58.662,-54.789,1.500,1.500
58.389,-55.752,1.500,1.500
58.146,-56.723,1.500,1.500
57.936,-57.702,1.500,1.500
57.759,-58.687,1.500,1.500
